id,label,timeset,v_name,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n71,こと,,こと,127,1529.0,5.0,0.457439446366782,0.5368885526979316,0.19916240876626554,0.33055905,0.33055905,18,0.02865601180339364,0,0.041777777777777775,329,0.8303117310753549
n72,これ,,これ,3,25.0,6.0,0.32852882703777336,0.352042360060516,3.535414770265822E-5,0.02723917,0.02723917,18,7.677821127621658E-4,0,0.6666666666666666,2,0.0647470553337113
n73,これら,,これら,1,6.0,6.0,0.33033483258370816,0.3524710035300067,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n74,その他,,その他,1,5.0,7.0,0.2784330244313395,0.2936856134284278,0.0,0.0058971387,0.0058971387,4,3.80818832564445E-4,0,0.0,0,0.014347855902462113
n75,その後,,その後,5,36.0,6.0,0.36021798365122615,0.3870650529500776,9.223073309236206E-5,0.052135713,0.052135713,4,0.001142081159014719,0,0.8,8,0.12503196979110204
n76,それ,,それ,4,23.0,6.0,0.3291832669322709,0.3539586485123566,1.5889340739497963E-4,0.028860407,0.028860407,18,0.0010163665671703206,0,0.3333333333333333,2,0.06883776120643995
n77,それら,,それら,1,5.0,6.0,0.33033483258370816,0.3524710035300067,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n78,ため,,ため,27,233.0,6.0,0.38474970896391153,0.4244074634392334,0.008839549060343368,0.13905716,0.13905716,18,0.00544152746460277,0,0.23076923076923078,81,0.32485761274226926
n79,とおり,,とおり,14,191.0,6.0,0.3512221041445271,0.3819465456379245,0.008594103659756252,0.05399723,0.05399723,19,0.0031895265110431096,0,0.10989010989010989,10,0.12966031253975294
n80,ところ,,ところ,1,5.0,7.0,0.2639776357827476,0.27691808947482127,0.0,0.0031662155,0.0031662155,23,3.758561724909895E-4,0,0.0,0,0.007419243230130773
n81,ない,,ない,12,181.0,6.0,0.3686558839933073,0.4003530005042879,0.0065885605178075575,0.072032526,0.072032526,18,0.002727349710459335,0,0.30303030303030304,20,0.17045457704899913
n82,ないとはいえない,,ないとはいえない,2,27.0,7.0,0.2723526988051092,0.28591960233412594,0.0,0.006092416,0.006092416,18,5.669270795552006E-4,0,1.0,1,0.014673380127040789
n83,の,,の,11,77.0,6.0,0.36824512534818943,0.39934442763489786,7.680455790389777E-4,0.08175762,0.08175762,18,0.0022456146711637612,0,0.4727272727272727,26,0.1925914570437996
n84,もの,,もの,25,263.0,6.0,0.3690675600223339,0.40849722642460984,0.00996444363670608,0.10165603,0.10165603,18,0.005157653863059665,0,0.15666666666666668,47,0.23925077681379225
n85,よう,,よう,35,348.0,6.0,0.407521578298397,0.449974785678265,0.025863218957074014,0.16222943,0.16222943,18,0.007115365923051575,0,0.19073083778966132,107,0.4002821011394335
n86,わけ,,わけ,1,9.0,7.0,0.2694659600489197,0.2815323103522802,0.0,0.0034555288,0.0034555288,18,3.883546602024395E-4,0,0.0,0,0.007826830653848406
n87,ア,,ア,9,117.0,6.0,0.3428423236514523,0.3707766011094319,0.003544202691422254,0.038520623,0.038520623,19,0.001918277232258265,0,0.2857142857142857,8,0.09733251083045186
n88,アップロード,,アップロード,3,51.0,6.0,0.3057354301572618,0.3270297528996482,1.0690831301505112E-5,0.020805787,0.020805787,27,7.324386679060896E-4,0,0.3333333333333333,1,0.04779993341604947
n89,アフィリエイト,,アフィリエイト,2,48.0,6.0,0.33166081284495735,0.3547402924861338,1.5053842459505478E-4,0.020936983,0.020936983,31,5.801240348784912E-4,0,0.0,0,0.0516142861427445
n90,アプリ,,アプリ,1,8.0,8.0,0.2119948685054522,0.21895936892154724,0.0,1.7104814E-4,1.7104814E-4,31,4.7195887375857826E-4,0,0.0,0,0.0010522368285440485
n91,アマニュアル,,アマニュアル,2,14.0,6.0,0.2845458458889367,0.3003782148260216,0.0,0.010397309,0.010397309,19,5.556847202182441E-4,0,1.0,1,0.02397674893882364
n92,アルバイト,,アルバイト,2,74.0,6.0,0.2733664185277089,0.2893091275844681,5.271298676528591E-5,0.0056494353,0.0056494353,21,6.219790663052074E-4,0,0.0,0,0.013700097938053117
n93,イ,,イ,5,58.0,6.0,0.3631868131868132,0.3909480584972282,0.0018646979263865363,0.049097143,0.049097143,27,0.0012085144024623043,0,0.5,5,0.11835956877279137
n94,インターネット,,インターネット,1,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0013141289683464077,1,0.0,0,5.361701816155836E-4
n95,インターネット上,,インターネット上,1,8.0,7.0,0.2655685014061872,0.2768424465096174,0.0,0.0026754464,0.0026754464,18,3.9466593195488234E-4,0,0.0,0,0.006167055552552032
n96,インターン,,インターン,3,48.0,7.0,0.28776665215498476,0.30490598660038964,1.562122512436287E-4,0.011176861,0.011176861,21,8.10329329333593E-4,0,0.0,0,0.026083272388167014
n97,インテリア,,インテリア,1,5.0,7.0,0.2487768159578472,0.2587637778258044,0.0,9.798288E-4,9.798288E-4,30,4.862610308572532E-4,0,0.0,0,0.002669245554090452
n98,ウ,,ウ,6,45.0,6.0,0.329019412643106,0.35829551185073266,0.001111577895718973,0.03467554,0.03467554,19,0.0013959971669587723,0,0.2,3,0.08283590246859487
n99,エ,,エ,2,17.0,6.0,0.28127659574468084,0.2960665658093801,3.1513012713698016E-5,0.007592129,0.007592129,19,5.642544766712712E-4,0,0.0,0,0.01797649259623778
n100,オープン,,オープン,2,17.0,7.0,0.253548139624089,0.2668755853324685,0.0,0.0016837576,0.0016837576,23,6.771124694013955E-4,0,1.0,1,0.005536639173599104
n101,キーワード,,キーワード,9,114.0,6.0,0.3396711202466598,0.3680282400403445,0.01751352082174321,0.028996995,0.028996995,13,0.002749130887029861,0,0.16666666666666666,6,0.07346936176753045
n102,クラウドソーシング,,クラウドソーシング,3,96.0,6.0,0.2985546522131888,0.31759959657085307,1.6148072858010375E-4,0.012878787,0.012878787,4,7.991656321609504E-4,0,0.0,0,0.030229221115966882
