id,label,timeset,v_name,modularity_class,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,pageranks,componentnumber,clustering,triangles,eigencentrality
n139,プロバイダ,,プロバイダ,36,1,14.0,6.0,0.2884275618374558,0.30370086778968913,0.0,0.0066522853,0.0066522853,4.008682464663652E-4,0,0.0,0,0.015816214562186362
n140,ヘルスケア,,ヘルスケア,9,2,21.0,6.0,0.3055685540477305,0.3248085758039826,1.5888221790107918E-4,0.0121074505,0.0121074505,6.268394306573545E-4,0,0.0,0,0.029816438014192224
n141,ボード,,ボード,6,1,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,5,0.0,0,5.351872668406739E-4
n142,マニュアル,,マニュアル,41,18,313.0,5.0,0.36892655367231636,0.4038029606942333,0.004486461227039288,0.09221322,0.09221322,0.003659431550166273,0,0.2222222222222222,34,0.21655207271635546
n143,メディア,,メディア,9,5,57.0,7.0,0.28329718004338394,0.30861591190840815,0.003549955251556031,0.007693389,0.007693389,0.0014382275004602091,0,0.1,1,0.024525352160870095
n144,モバイル,,モバイル,9,2,14.0,7.0,0.27151767151767153,0.2877269744038502,0.0,0.0031976833,0.0031976833,7.546833997316366E-4,0,1.0,1,0.010026193535981385
n145,ユーザー,,ユーザー,17,7,129.0,6.0,0.3323155216284987,0.35870342011230383,0.0026620398117293575,0.02851351,0.02851351,0.0019210213649609547,0,0.2857142857142857,6,0.07043723611532549
n146,ライター,,ライター,18,34,1158.0,5.0,0.3748564867967853,0.4187340479836662,0.027940260273671108,0.1062785,0.1062785,0.007975060235872293,0,0.09269162210338681,52,0.2554286526787538
n147,リスク,,リスク,17,12,111.0,7.0,0.2984460694698355,0.3252825785750758,0.013841633653609305,0.012874983,0.012874983,0.003750446923825272,0,0.0,0,0.037585029794440776
n148,リライト,,リライト,41,1,11.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n149,リンク,,リンク,36,1,7.0,7.0,0.2114637305699482,0.21848975424779418,0.0,1.7007554E-4,1.7007554E-4,5.746595127272798E-4,0,0.0,0,9.281944478044654E-4
n150,リンク元,,リンク元,36,1,6.0,6.0,0.26784249384741593,0.28103624298111257,0.0,0.0035458507,0.0035458507,3.962307252882528E-4,0,0.0,0,0.00863965962835234
n151,ルール,,ルール,34,8,70.0,6.0,0.313039309683605,0.33879530372639244,2.21064130035614E-4,0.03427244,0.03427244,0.0017482014343832186,0,0.32142857142857145,9,0.07873582061021142
n152,レシピ,,レシピ,41,1,5.0,7.0,0.24838341574743247,0.25823306351637054,0.0,9.0942683E-4,9.0942683E-4,5.712756305414719E-4,0,0.0,0,0.0024789855844178288
n153,ロゴ,,ロゴ,40,2,11.0,7.0,0.2638383838383838,0.27769634653248715,0.0,0.004393937,0.004393937,6.057041676829423E-4,0,1.0,1,0.01088805313733445
n154,ワークス,,ワークス,7,2,25.0,7.0,0.26872427983539093,0.281050827681762,0.002605103125324639,0.0027735594,0.0027735594,8.979683698588963E-4,0,0.0,0,0.007081858221322393
n155,一,,一,4,3,16.0,7.0,0.25708661417322837,0.270615474367388,2.869047290239159E-4,0.001853345,0.001853345,0.0011405150187007405,0,0.0,0,0.006042857988272404
n156,一因,,一因,40,1,13.0,6.0,0.3139423076923077,0.3361664114344066,0.0,0.015739636,0.015739636,3.903212962500693E-4,0,0.0,0,0.03831606831204112
n157,一定,,一定,41,1,5.0,7.0,0.2725375626043406,0.2856705316123388,0.0,0.0038658811,0.0038658811,4.109811077071912E-4,0,0.0,0,0.009159102854940229
n158,一次,,一次,17,2,13.0,7.0,0.2733361239012139,0.2911069787792605,1.1255426281124491E-4,0.0062463623,0.0062463623,6.644793456715602E-4,0,0.0,0,0.016042093125019943
n159,一致,,一致,34,3,20.0,6.0,0.2774001699235344,0.29318529862174597,0.0013784697643972794,0.006881329,0.006881329,8.884406838537008E-4,0,0.0,0,0.01682333027340652
n160,一般,,一般,17,4,94.0,6.0,0.33816675297773174,0.36352730985196713,1.701659236127966E-4,0.025014551,0.025014551,0.001122348269258571,0,0.6666666666666666,4,0.06268605070197739
n161,一部,,一部,41,1,15.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n162,万,,万,41,1,7.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n163,三,,三,4,1,5.0,7.0,0.22928370786516855,0.23820826952526736,0.0,4.409745E-4,4.409745E-4,5.678123732325159E-4,0,0.0,0,0.0016470101396314028
n164,上,,上,17,16,157.0,6.0,0.3564410480349345,0.3901735579377253,0.013692810075024969,0.056824435,0.056824435,0.003913432725034529,0,0.09166666666666666,11,0.13902762493313778
n165,上位,,上位,40,4,35.0,6.0,0.3172983479105928,0.34196018376722953,9.226770589819654E-4,0.020816445,0.020816445,0.0010719012354156218,0,0.5,3,0.05123273431287794
n166,上記,,上記,42,12,108.0,6.0,0.37528735632183907,0.4083460949464024,0.0023804915574701132,0.08312379,0.08312379,0.00253498161350292,0,0.42424242424242425,28,0.19914096131798598
n167,下表,,下表,42,2,21.0,7.0,0.26067864271457086,0.2734704295194337,4.3585552544080634E-4,0.0026122357,0.0026122357,7.037874188432928E-4,0,0.0,0,0.007005175004093446
n168,下記,,下記,42,3,16.0,7.0,0.26762295081967213,0.28079559542040394,1.4698615223132652E-4,0.004082763,0.004082763,8.816121608783709E-4,0,0.0,0,0.010307838483849526
n169,不十分,,不十分,40,1,9.0,6.0,0.3139423076923077,0.3361664114344066,0.0,0.015739636,0.015739636,3.903212962500693E-4,0,0.0,0,0.03831606831204112
n170,不適切,,不適切,30,3,18.0,6.0,0.3343573988735279,0.3584481878509461,3.143634925093942E-6,0.029966112,0.029966112,7.467814135667549E-4,0,0.6666666666666666,2,0.07158846429958733
n171,世界観,,世界観,44,1,6.0,9.0,0.1824022346368715,0.1880921996159378,0.0,2.5812185E-5,2.5812185E-5,6.261860806733442E-4,0,0.0,0,7.30624852087259E-4
n172,中,,中,41,9,114.0,6.0,0.36037527593818985,0.39139867279224266,0.0030649933163856584,0.06539556,0.06539556,0.002058505306739212,0,0.4722222222222222,17,0.15503754228329983
n173,主,,主,41,1,5.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n174,予測,,予測,8,1,34.0,7.0,0.2534937888198758,0.26492014876394604,0.0,0.00138151,0.00138151,4.6088723042192134E-4,0,0.0,0,0.003873999745486526
n175,事,,事,18,2,17.0,7.0,0.27977720651242505,0.29567563625756627,0.002605103125324639,0.0068287053,0.0068287053,8.487433553166714E-4,0,0.0,0,0.016294750074549648
n176,事実,,事実,17,1,5.0,7.0,0.24810030395136778,0.25971705680740836,0.0,0.0013073887,0.0013073887,4.60976881962775E-4,0,0.0,0,0.0035974233330044493
n177,事業,,事業,9,35,662.0,6.0,0.37229190421892816,0.41722817764165426,0.055308683035462165,0.063622825,0.063622825,0.009690326405003247,0,0.0453781512605042,27,0.1708598503266392
n178,事業者,,事業者,34,1,16.0,7.0,0.22792321116928446,0.23732954131116382,0.0,6.5022166E-4,6.5022166E-4,5.012315774604184E-4,0,0.0,0,0.0019451382495470361
n179,二元論,,二元論,17,1,5.0,7.0,0.2656631407648495,0.28048931670677424,0.0,0.0024997622,0.0024997622,4.8317310440441354E-4,0,0.0,0,0.007534345184010681
n180,人,,人,41,2,11.0,6.0,0.3301314459049545,0.3529606942317525,0.0,0.020222692,0.020222692,6.233373789751691E-4,0,1.0,1,0.0496532478650214
n181,人的,,人的,10,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013321807151073365,6,0.0,0,5.351872668406739E-4
n182,仕様,,仕様,40,4,29.0,6.0,0.3156114064765587,0.34025012761613205,1.3251930519928506E-5,0.020268278,0.020268278,0.001076557689654513,0,0.6666666666666666,4,0.04983920483551797
n183,他,,他,36,8,155.0,6.0,0.3524015110631408,0.3801684532924981,0.002437119489819783,0.049639516,0.049639516,0.0017990107784185694,0,0.39285714285714285,11,0.11942514636381182
n184,他人,,他人,17,2,16.0,7.0,0.24447772369898915,0.2567053161233858,0.002605103125324639,0.0014581422,0.0014581422,9.335865694060463E-4,0,0.0,0,0.004262376277951585
n185,他方,,他方,40,2,13.0,6.0,0.3247140726006962,0.3502552322613593,0.0,0.025330892,0.025330892,5.840940001663502E-4,0,1.0,1,0.060649315691286385
n186,付け,,付け,42,1,7.0,7.0,0.2140983606557377,0.22104207686137206,0.0,2.01909E-4,2.01909E-4,5.707401034785712E-4,0,0.0,0,9.609242614147827E-4
n187,以上,,以上,34,3,19.0,6.0,0.2961451247165533,0.3127105666156211,0.0026146349353556794,0.010619551,0.010619551,9.67116204858126E-4,0,0.0,0,0.025243766294159076
n188,以下,,以下,41,8,77.0,6.0,0.3672665916760405,0.39701378254211506,7.882664271187269E-4,0.06329623,0.06329623,0.0017285759614436452,0,0.39285714285714285,11,0.15119796221128823
